IFS	34.04	61.7	47.87	58.82	61.11	60	NaN	0	0	
IJC	0	NaN	0	0	100	50	NaN	NaN	NaN	
ILC	50	62.5	56.41	47.62	52.38	50	NaN	50	50	
IMP	42.42	55.88	49.25	57.14	73.33	65.52	NaN	NaN	NaN	
INN	50	25	37.5	66.67	33.33	50	0	NaN	0	
ITA	30.77	56.41	43.59	44.44	63.16	54.05	0	NaN	0	
ITC	50	66.67	57.14	33.33	50	42.86	NaN	100	100	
KBC	33.33	66.67	50	25	53.85	40	NaN	0	0	
KBT	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
KDC	42.86	46.94	44.9	41.67	40	40.82	100	100	100	
KDH	33.33	66.67	50	50	0	25	NaN	NaN	NaN	
KHA	50	53.01	51.52	56.76	63.16	60	0	0	0	
KHB	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
KHP	42.86	57.14	50	41.18	64.71	52.94	NaN	NaN	NaN	
KKC	56.25	33.33	45.16	62.5	37.5	50	100	NaN	100	
KLS	42.86	42.86	42.86	62.5	66.67	64.71	NaN	NaN	NaN	
KMF	29.41	70.59	50	50	66.67	58.82	100	NaN	100	
KMR	40.91	61.9	51.16	75	33.33	52.94	NaN	NaN	NaN	
KSA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
KSB	40	33.33	36.36	0	100	66.67	NaN	NaN	NaN	
KSD	0	NaN	0	0	100	50	NaN	NaN	NaN	
KSH	56.25	35.29	45.45	37.5	55.56	47.06	NaN	NaN	NaN	
KSS	50	100	75	50	50	50	NaN	NaN	NaN	
L10	46.15	38.46	42.31	46.67	26.67	36.67	0	NaN	0	
L18	73.68	50	62.16	50	28.57	39.29	100	NaN	100	
L35	100	100	100	100	0	50	NaN	NaN	NaN	
L43	54.55	50	52.27	60	20	40	NaN	NaN	NaN	
L44	50	60	54.55	100	0	50	NaN	NaN	NaN	
L61	63.64	33.33	48.84	62.5	37.5	50	100	NaN	100	
L62	44.83	55.17	50	35.71	64.29	50	NaN	100	100	
LAF	50	48.35	49.17	57.14	47.62	52.38	50	0	25	
LBE	43.48	59.09	51.11	31.25	62.5	46.88	100	NaN	100	
LBM	43.75	78.12	60.94	46.67	60	53.33	NaN	NaN	NaN	
LCG	50	58.33	54.17	42.86	50	46.67	NaN	NaN	NaN	
LCS	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
LDP	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
LGC	47.06	44.12	45.59	52.17	47.83	50	NaN	50	50	
LGL	75	66.67	71.43	25	50	37.5	NaN	NaN	NaN	
LHC	50	75	62.5	50	50	50	NaN	NaN	NaN	
LHG	0	0	0	0	50	25	NaN	NaN	NaN	
LIG	0	NaN	0	100	0	50	100	NaN	100	
LIX	60	20	40	66.67	33.33	50	NaN	NaN	NaN	
LM3	80	20	50	66.67	0	33.33	NaN	0	0	
LO5	100	0	55.56	100	0	50	NaN	NaN	NaN	
LSS	30.43	56.52	43.48	50	72.73	61.9	NaN	NaN	NaN	
LTC	47.22	62.86	54.93	63.16	47.37	55.26	100	33.33	50	
LUT	63.64	47.83	55.56	56.25	50	53.12	NaN	0	0	
MAC	75	50	62.5	50	50	50	NaN	NaN	NaN	
MAFPF1	25	68.97	47.37	36.36	33.33	34.78	NaN	NaN	NaN	
MCC	0	100	66.67	NaN	100	100	NaN	NaN	NaN	
MCG	50	50	50	33.33	66.67	50	NaN	NaN	NaN	
MCO	43.59	52.5	48.1	31.58	42.11	36.84	NaN	50	50	
MCP	50	57.58	53.73	47.06	41.18	44.12	NaN	NaN	NaN	
MCV	46.67	56.67	51.67	60	60	60	NaN	NaN	NaN	
MDC	54.55	30	42.86	25	20	22.22	NaN	NaN	NaN	
MEC	60.61	57.58	59.09	64.71	35.29	50	100	NaN	100	
MHC	55.36	55.36	55.36	47.83	60.87	54.35	0	66.67	50	
MHL	100	33.33	66.67	100	0	50	NaN	NaN	NaN	
MIC	48	57.69	52.94	66.67	66.67	66.67	NaN	NaN	NaN	
MIH	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
MKP	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
MKV	61.9	28.57	45.24	63.64	27.27	45.45	100	0	25	
MMC	28	66.67	46.94	66.67	50	57.89	NaN	100	100	
MPC	44.44	59.46	52.05	50	58.33	54.17	NaN	NaN	NaN	
MSN	100	11.11	55.56	100	0	50	NaN	NaN	NaN	
MTG	70	50	60	71.43	42.86	57.14	NaN	NaN	NaN	
NAG	60	75	66.67	75	50	62.5	NaN	NaN	NaN	
NAV	40.62	60.61	50.77	38.89	61.11	50	NaN	100	100	
NBB	73.33	26.67	50	80	20	50	NaN	0	0	
NBC	43.24	50	46.67	50	64.71	57.58	100	NaN	100	
NBP	40	70	55	12.5	62.5	37.5	0	NaN	0	
NGC	33.33	54.17	43.75	37.5	58.82	48.48	NaN	0	0	
NHA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
NHC	50.91	45.45	48.18	50	53.85	51.92	100	66.67	75	
NHS	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
NHW	0	40	22.22	66.67	0	33.33	NaN	NaN	NaN	
NKD	48.28	56.9	52.59	42.86	68.18	55.81	100	100	100	
NLC	47.37	51.28	49.35	42.86	46.67	44.83	50	100	66.67	
NNC	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
NPS	39.53	62.79	51.16	47.37	63.16	55.26	100	0	50	
NSC	41.94	61.29	51.61	43.75	70.59	57.58	100	NaN	100	
NSN	NaN	100	100	NaN	NaN	NaN	NaN	NaN	NaN	
NST	34.88	48.84	41.86	47.06	61.11	54.29	0	100	66.67	
NTB	NaN	NaN	NaN	NaN	100	100	NaN	NaN	NaN	
NTL	63.16	36.84	50	50	70	60	0	NaN	0	
NTP	45.95	62.16	54.05	36.36	83.33	60.87	NaN	100	100	
NVC	26.92	74.07	50.94	23.53	72.22	48.57	100	100	100	
NVN	100	0	50	100	0	50	NaN	NaN	NaN	
NVT	100	NaN	100	NaN	0	0	NaN	NaN	NaN	
OGC	100	0	33.33	NaN	NaN	NaN	NaN	NaN	NaN	
ONE	40	50	45	50	62.5	56.25	NaN	NaN	NaN	
OPC	55	55	55	37.5	55.56	47.06	NaN	NaN	NaN	
ORS	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
PAC	40.91	48.84	44.83	41.18	44.44	42.86	50	NaN	50	
PAN	36.11	62.16	49.32	37.5	75	56.25	100	NaN	100	
PDC	83.33	50	66.67	75	25	50	NaN	NaN	NaN	
PDR	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
PET	26.09	69.57	47.83	36.36	72.73	54.55	NaN	NaN	NaN	
PGC	35.48	59.38	47.62	50	58.33	54.17	NaN	NaN	NaN	
PGD	20	100	63.64	0	66.67	40	NaN	100	100	
PGS	40	62.5	51.02	50	60	55	0	NaN	0	
PGT	100	50	80	100	0	50	NaN	NaN	NaN	
PHC	57.14	71.43	64.29	60	33.33	45.45	NaN	NaN	NaN	
PHH	0	100	66.67	0	100	66.67	NaN	NaN	NaN	
PHR	33.33	57.14	46.15	60	60	60	NaN	NaN	NaN	
PHS	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
PHT	0	75	37.5	0	83.33	45.45	NaN	NaN	NaN	
PIT	27.78	76.47	51.43	41.67	66.67	54.17	NaN	NaN	NaN	
PJC	38.64	46.51	42.53	55.56	66.67	61.11	100	100	100	
PJT	41.94	63.33	52.46	76.92	61.54	69.23	100	NaN	100	
PLC	33.33	67.5	50.63	33.33	68.75	51.61	0	100	50	
PMC	60	100	77.78	25	75	50	NaN	NaN	NaN	
PMS	48.15	47.5	47.83	39.47	42.11	40.79	100	100	100	
PNC	45.65	57.78	51.65	50	70.83	60.42	NaN	100	100	
PNJ	60	60	60	28.57	62.5	46.67	NaN	0	0	
POM	0	100	50	NaN	100	100	NaN	NaN	NaN	
POT	45.71	61.11	53.52	73.33	40	56.67	100	100	100	
PPC	41.03	61.54	51.28	41.18	83.33	62.86	NaN	NaN	NaN	
PPG	51.28	51.28	51.28	44.44	44.44	44.44	100	50	66.67	
PPI	0	100	50	0	100	66.67	NaN	NaN	NaN	
PRUBF1	42.42	62.5	52.31	36.84	55	46.15	NaN	50	50	
PSC	42.22	50	46.15	45	65	55	NaN	0	0	
PSI	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
PTC	42.86	68.97	56.14	42.86	64.29	53.57	100	NaN	100	
PTM	41.18	50	45.71	30	50	40	NaN	NaN	NaN	
PTS	54.55	53.49	54.02	55.56	77.78	66.67	NaN	100	100	
PVA	53.33	53.33	53.33	71.43	42.86	57.14	NaN	NaN	NaN	
PVC	36.36	63.64	50	50	61.54	56	NaN	100	100	
PVD	29.03	61.29	45.16	25	93.75	59.38	NaN	100	100	
PVE	40.74	70.37	55.56	61.54	42.86	51.85	100	NaN	100	
PVF	35.29	52.94	44.12	40	30	35	50	100	66.67	
PVG	66.67	36.36	52.17	63.64	36.36	50	100	100	100	
PVI	40.74	59.26	50	41.67	50	45.83	NaN	NaN	NaN	
PVL	100	100	100	0	100	50	NaN	NaN	NaN	
PVR	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
PVS	30.77	57.69	44.23	41.67	69.23	56	NaN	100	100	
PVT	26.09	59.09	42.22	63.64	54.55	59.09	100	NaN	100	
PVX	62.5	75	68.75	14.29	14.29	14.29	NaN	NaN	NaN	
PXI	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
PXM	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
PXS	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
PXT	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
QHD	0	NaN	0	NaN	100	100	NaN	NaN	NaN	
QNC	45.83	58.33	52.08	38.46	53.85	46.15	100	NaN	100	
QST	45.45	72.73	59.09	30	54.55	42.86	NaN	NaN	NaN	
QTC	55.56	29.41	42.86	33.33	50	42.86	NaN	100	100	
RAL	38.89	63.89	51.39	52.94	64.71	58.82	NaN	50	50	
RCL	50	50	50	50	61.54	56	NaN	NaN	NaN	
RDP	25	85.71	53.33	66.67	66.67	66.67	NaN	NaN	NaN	
REE	49.4	53.01	51.2	61.11	62.16	61.64	NaN	0	0	
RHC	49.02	47.06	48.04	46.67	35.48	40.98	50	NaN	50	
RIC	39.13	69.57	54.35	38.46	64.29	51.85	NaN	100	100	
S12	36.36	50	43.18	45.45	54.55	50	NaN	NaN	NaN	
S55	53.12	60.61	56.92	50	68.75	59.38	NaN	NaN	NaN	
S64	50	51.43	50.72	41.67	75	58.33	NaN	NaN	NaN	
S74	50	46.15	48	50	33.33	41.18	NaN	NaN	NaN	
S91	61.29	46.88	53.97	50	56.25	53.12	100	100	100	
S96	43.48	56.52	50	50	58.33	54.17	NaN	NaN	NaN	
S99	45.16	54.84	50	50	75	62.5	NaN	NaN	NaN	
SAF	55.88	45.71	50.72	50	39.13	44.44	100	NaN	100	
SAM	53.12	54.64	53.89	66.67	50	58.23	NaN	0	0	
SAP	48.57	60	54.29	58.82	52.94	55.88	100	NaN	100	
SAV	39.33	57.3	48.31	42.11	61.54	51.95	NaN	NaN	NaN	
SBA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
SBC	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
SBS	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
SBT	34.78	60.87	47.83	25	76.92	52	NaN	100	100	
SC5	46.15	61.54	53.85	58.33	46.15	52	NaN	0	0	
SCC	40	66.67	53.52	31.58	57.89	44.74	0	0	0	
SCD	58.06	54.84	56.45	53.33	43.75	48.39	NaN	NaN	NaN	
SCJ	34.62	62.96	49.06	46.15	64.29	55.56	NaN	NaN	NaN	
SD1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
SD2	39.13	68.18	53.33	50	58.33	54.17	NaN	NaN	NaN	
SD3	51.52	52.94	52.24	40	60	50	0	NaN	0	
SD4	57.14	57.14	57.14	33.33	70	52.63	NaN	100	100	
SD5	56.76	57.89	57.33	41.18	52.94	47.06	NaN	100	100	
SD6	55.56	51.35	53.42	37.5	68.75	53.12	0	100	50	
SD7	48.28	50	49.15	68.75	47.06	57.58	NaN	NaN	NaN	
SD8	41.18	47.06	44.12	30	40	35	0	NaN	0	
SD9	43.75	57.58	50.77	52.94	52.94	52.94	100	NaN	100	
SDA	48.28	60	54.24	66.67	58.33	62.5	NaN	NaN	NaN	
SDB	50	100	75	0	100	50	NaN	NaN	NaN	
SDC	33.33	48.65	41.1	35.29	70.59	52.94	100	50	66.67	
SDD	56.52	50	53.33	81.82	36.36	59.09	NaN	NaN	NaN	
SDE	100	100	100	100	100	100	NaN	NaN	NaN	
SDG	20	50	36.36	50	33.33	40	NaN	0	0	
SDH	83.33	50	66.67	25	60	44.44	NaN	NaN	NaN	
SDJ	35	57.14	46.34	45.45	54.55	50	NaN	NaN	NaN	
SDN	39.47	45.95	42.67	45	55	50	NaN	100	100	
SDP	70	45.45	57.14	75	25	50	NaN	NaN	NaN	
SDS	45.83	48	46.94	54.55	58.33	56.52	NaN	100	100	
SDT	44.83	65.52	55.17	40	73.33	56.67	0	NaN	0	
SDU	33.33	20	27.27	100	25	57.14	NaN	NaN	NaN	
SDY	52.94	45.45	49.25	53.33	46.67	50	100	NaN	100	
SEB	61.11	17.65	40	50	33.33	41.67	0	0	0	
