Date,Open,High,Low,Close,Volume
Jun-11-2010,6783.5000,6815.6699,6726.4199,6814.7598,0
Jun-10-2010,6559.7798,6787.7598,6559.7798,6783.5098,0
Jun-09-2010,6596.1499,6702.0601,6539.2002,6559.7100,0
Jun-08-2010,6512.4199,6602.4399,6469.5200,6596.1201,0
Jun-07-2010,6600.2300,6643.5000,6509.6602,6512.4199,0
Jun-04-2010,6860.3301,6860.3301,6575.7100,6600.2700,0
Jun-03-2010,6839.6099,6891.0000,6790.2100,6860.3901,0
Jun-02-2010,6661.1001,6840.1401,6661.1001,6839.6099,0
Jun-01-2010,6791.4399,6828.7598,6659.0400,6661.1001,0
May-28-2010,6893.2900,6893.2900,6764.7100,6791.5698,0
May-27-2010,6631.3599,6894.2202,6631.3599,6893.2900,0
May-26-2010,6665.8398,6767.8701,6615.9600,6631.3599,0
May-25-2010,6666.7300,6669.9199,6451.6699,6665.8301,0
May-24-2010,6775.4399,6775.4399,6663.1699,6666.7402,0
May-21-2010,6653.0000,6785.1201,6565.5298,6775.4502,0
May-20-2010,6927.2100,6927.2100,6648.9199,6653.0000,0
May-19-2010,6959.1899,6979.1001,6823.3701,6927.2100,0
May-18-2010,7063.8301,7150.8799,6939.5898,6959.2100,0
May-17-2010,7077.6699,7115.6602,6926.3901,7063.8301,0
May-14-2010,7234.1499,7234.1499,7017.5601,7077.6401,0
May-13-2010,7316.3599,7325.8398,7225.3398,7234.3701,0
May-12-2010,7221.9800,7324.0200,7221.9800,7316.3599,0
May-11-2010,7257.5898,7311.0298,7177.0498,7221.6602,0
May-10-2010,6916.1802,7288.0298,6916.1802,7257.6201,0
May-07-2010,7011.9102,7061.6499,6809.6499,6916.1802,0
May-06-2010,7257.8999,7259.1899,6666.9600,7011.9199,0
May-05-2010,7337.2500,7337.2500,7204.2402,7258.0200,0
May-04-2010,7543.1099,7543.1099,7307.8198,7337.2500,0
May-03-2010,7474.4302,7560.1602,7473.5098,7543.1201,0
Apr-30-2010,7589.2900,7596.9800,7473.3398,7474.3999,0
Apr-29-2010,7499.7300,7605.5298,7499.7300,7589.2900,0
Apr-28-2010,7463.0898,7520.4600,7437.3901,7499.7202,0
Apr-27-2010,7677.6401,7677.6401,7453.2300,7463.0898,0
Apr-26-2010,7701.6099,7727.2202,7671.6401,7677.6499,0
Apr-23-2010,7642.8301,7701.6099,7603.8501,7701.6099,0
Apr-22-2010,7644.5898,7648.9800,7522.7500,7642.8301,0
Apr-21-2010,7669.1001,7675.7002,7599.2900,7644.6699,0
Apr-20-2010,7596.5601,7676.6602,7596.5601,7669.1099,0
Apr-19-2010,7584.6099,7598.7002,7507.8599,7596.5601,0
Apr-16-2010,7719.6299,7719.6299,7548.2700,7584.6201,0
Apr-15-2010,7728.9502,7743.7402,7706.0000,7719.6602,0
Apr-14-2010,7638.3901,7728.9702,7638.3901,7728.9600,0
Apr-13-2010,7641.7500,7648.6001,7583.5801,7638.3501,0
Apr-12-2010,7629.0400,7661.1299,7629.0400,7641.7500,0
Apr-09-2010,7565.4199,7630.5200,7565.4199,7629.0498,0
Apr-08-2010,7546.1499,7575.0601,7481.6401,7565.3301,0
Apr-07-2010,7604.4302,7604.4302,7515.9399,7546.1802,0
Apr-06-2010,7600.9102,7616.2598,7558.2500,7604.4399,0
Apr-05-2010,7539.0298,7600.9302,7539.0298,7600.9302,0
Apr-01-2010,7447.9399,7542.9199,7447.9399,7539.0200,0
Mar-31-2010,7460.7598,7480.4102,7422.3398,7447.7998,0
Mar-30-2010,7464.8999,7494.3301,7436.1499,7460.7202,0
Mar-29-2010,7403.7998,7467.2700,7403.7998,7464.8999,0
Mar-26-2010,7385.6001,7448.4800,7370.1499,7403.5801,0
Mar-25-2010,7408.1802,7483.6699,7382.3301,7385.6001,0
Mar-24-2010,7478.7300,7478.7300,7398.4199,7408.1602,0
Mar-23-2010,7419.0098,7481.2002,7412.2998,7478.7598,0
Mar-22-2010,7386.8301,7426.1299,7321.6201,7419.0200,0
Mar-19-2010,7443.6099,7459.2900,7364.7700,7386.8501,0
Mar-18-2010,7474.1401,7475.9800,7412.6499,7443.5698,0
Mar-17-2010,7426.7002,7497.8799,7426.7002,7474.1299,0
Mar-16-2010,7350.9600,7429.9702,7350.9600,7426.7002,0
Mar-15-2010,7362.8101,7362.8101,7294.2998,7350.9600,0
Mar-12-2010,7353.2402,7387.2202,7343.4600,7362.8501,0
Mar-11-2010,7327.6699,7353.2402,7276.2700,7353.2402,0
Mar-10-2010,7294.0400,7351.8701,7292.4399,7327.6699,0
Mar-09-2010,7292.5298,7323.9502,7256.1899,7294.0200,0
Mar-08-2010,7291.3101,7317.3999,7278.4199,7292.5298,0
Mar-05-2010,7173.2100,7294.0400,7173.2100,7291.3101,0
Mar-04-2010,7164.6699,7193.0000,7138.2202,7173.0698,0
Mar-03-2010,7135.9702,7212.2798,7135.9702,7164.6602,0
Mar-02-2010,7100.7998,7168.1201,7100.7998,7135.9702,0
Mar-01-2010,7035.0498,7100.7500,7035.0498,7100.7500,0
Feb-26-2010,7013.4502,7050.0000,6968.4302,7035.0400,0
Feb-25-2010,7030.6099,7030.6099,6896.0200,7013.4502,0
Feb-24-2010,6974.6001,7043.9102,6973.0801,7030.6699,0
Feb-23-2010,7078.5298,7078.5298,6961.8501,6974.6001,0
Feb-22-2010,7083.2500,7109.0400,7067.4399,7078.5298,0
Feb-19-2010,7080.3799,7101.9199,7022.5200,7083.2500,0
Feb-18-2010,7035.1899,7087.6602,7022.1201,7080.3799,0
Feb-17-2010,7013.3501,7059.8901,7008.7002,7035.2002,0
Feb-16-2010,6874.5601,7020.3398,6874.5601,7013.3501,0
Feb-12-2010,6898.7202,6898.7202,6783.1099,6874.5601,0
Feb-11-2010,6819.1201,6901.4502,6769.3999,6898.7202,0
Feb-10-2010,6835.1602,6850.9800,6756.3198,6819.1201,0
Feb-09-2010,6713.8999,6887.3398,6713.8999,6835.1602,0
Feb-08-2010,6782.7402,6815.9800,6712.4502,6713.8701,0
Feb-05-2010,6787.8599,6799.8101,6631.5098,6782.7500,0
Feb-04-2010,7042.5698,7042.5698,6786.2700,6787.8599,0
Feb-03-2010,7101.4302,7101.4302,7023.1699,7042.6201,0
Feb-02-2010,7008.4702,7111.5200,7005.8398,7101.4399,0
