CODE,DATE,CLOSING PRICE,CLOSING PRICE,CLOSING PRICE
NYA,7/2/2004,6542.36,6542.36,6542.36
NYA,7/6/2004,6497.53,6497.53,6497.53
NYA,7/7/2004,6518.71,6518.71,6518.71
NYA,7/8/2004,6473.58,6473.58,6473.58
NYA,7/9/2004,6500.4,6500.4,6500.4
NYA,7/12/2004,6503.78,6503.78,6503.78
NYA,7/13/2004,6504.6,6504.6,6504.6
NYA,7/14/2004,6488.8,6488.8,6488.8
NYA,7/15/2004,6457.12,6457.12,6457.12
NYA,7/16/2004,6456.02,6456.02,6456.02
NYA,7/19/2004,6446.66,6446.66,6446.66
NYA,7/20/2004,6473.03,6473.03,6473.03
NYA,7/21/2004,6390.21,6390.21,6390.21
NYA,7/22/2004,6390.63,6390.63,6390.63
NYA,7/23/2004,6324.1,6324.1,6324.1
NYA,7/26/2004,6297.64,6297.64,6297.64
NYA,7/27/2004,6347.6,6347.6,6347.6
NYA,7/28/2004,6357.77,6357.77,6357.77
NYA,7/29/2004,6394.07,6394.07,6394.07
NYA,7/30/2004,6403.15,6403.15,6403.15
NYA,8/2/2004,6426.4,6426.4,6426.4
NYA,8/3/2004,6402.71,6402.71,6402.71
NYA,8/4/2004,6385.06,6385.06,6385.06
NYA,8/5/2004,6295.1,6295.1,6295.1
NYA,8/6/2004,6225.83,6225.83,6225.83
NYA,8/9/2004,6227.55,6227.55,6227.55
NYA,8/10/2004,6295.11,6295.11,6295.11
NYA,8/11/2004,6278.6,6278.6,6278.6
NYA,8/12/2004,6217.06,6217.06,6217.06
NYA,8/13/2004,6234.84,6234.84,6234.84
NYA,8/16/2004,6315.95,6315.95,6315.95
NYA,8/17/2004,6320.25,6320.25,6320.25
NYA,8/18/2004,6386.73,6386.73,6386.73
NYA,8/19/2004,6372.63,6372.63,6372.63
NYA,8/20/2004,6414.67,6414.67,6414.67
NYA,8/23/2004,6385.44,6385.44,6385.44
NYA,8/24/2004,6382.51,6382.51,6382.51
NYA,8/25/2004,6431.79,6431.79,6431.79
NYA,8/26/2004,6439.79,6439.79,6439.79
NYA,8/27/2004,6455.52,6455.52,6455.52
NYA,8/30/2004,6414.54,6414.54,6414.54
NYA,8/31/2004,6454.22,6454.22,6454.22
NYA,9/1/2004,6469.86,6469.86,6469.86
NYA,9/2/2004,6535.05,6535.05,6535.05
NYA,9/3/2004,6510.44,6510.44,6510.44
NYA,9/7/2004,6555.64,6555.64,6555.64
NYA,9/8/2004,6534.09,6534.09,6534.09
NYA,9/9/2004,6544.31,6544.31,6544.31
NYA,9/10/2004,6568.3,6568.3,6568.3
NYA,9/13/2004,6581.81,6581.81,6581.81
NYA,9/14/2004,6594.21,6594.21,6594.21
NYA,9/15/2004,6546.32,6546.32,6546.32
NYA,9/16/2004,6574.61,6574.61,6574.61
NYA,9/17/2004,6604,6604,6604
NYA,9/20/2004,6565.9,6565.9,6565.9
NYA,9/21/2004,6633.22,6633.22,6633.22
NYA,9/22/2004,6548.56,6548.56,6548.56
NYA,9/23/2004,6521.43,6521.43,6521.43
NYA,9/24/2004,6531.37,6531.37,6531.37
NYA,9/27/2004,6496.37,6496.37,6496.37
NYA,9/28/2004,6543.39,6543.39,6543.39
NYA,9/29/2004,6560.68,6560.68,6560.68
NYA,9/30/2004,6570.25,6570.25,6570.25
NYA,10/1/2004,6663.18,6663.18,6663.18
NYA,10/4/2004,6677.75,6677.75,6677.75
NYA,10/5/2004,6679.25,6679.25,6679.25
NYA,10/6/2004,6717.43,6717.43,6717.43
NYA,10/7/2004,6654.22,6654.22,6654.22
NYA,10/8/2004,6636.42,6636.42,6636.42
NYA,10/11/2004,6643.17,6643.17,6643.17
NYA,10/12/2004,6609.71,6609.71,6609.71
NYA,10/13/2004,6556.53,6556.53,6556.53
NYA,10/14/2004,6516.1,6516.1,6516.1
NYA,10/15/2004,6559.38,6559.38,6559.38
NYA,10/18/2004,6572.37,6572.37,6572.37
NYA,10/19/2004,6530.39,6530.39,6530.39
NYA,10/20/2004,6539.48,6539.48,6539.48
NYA,10/21/2004,6563.49,6563.49,6563.49
NYA,10/22/2004,6521.32,6521.32,6521.32
NYA,10/25/2004,6520.9,6520.9,6520.9
NYA,10/26/2004,6598.45,6598.45,6598.45
NYA,10/27/2004,6665.87,6665.87,6665.87
NYA,10/28/2004,6670.5,6670.5,6670.5
NYA,10/29/2004,6692.71,6692.71,6692.71
NYA,11/1/2004,6699.86,6699.86,6699.86
NYA,11/2/2004,6701.47,6701.47,6701.47
NYA,11/3/2004,6787.4,6787.4,6787.4
NYA,11/4/2004,6885.2,6885.2,6885.2
NYA,11/5/2004,6910.17,6910.17,6910.17
NYA,11/8/2004,6890,6890,6890
NYA,11/9/2004,6886.34,6886.34,6886.34
NYA,11/10/2004,6891.22,6891.22,6891.22
NYA,11/11/2004,6950.97,6950.97,6950.97
NYA,11/12/2004,7014.18,7014.18,7014.18
NYA,11/15/2004,7003.06,7003.06,7003.06
NYA,11/16/2004,6959.3,6959.3,6959.3
NYA,11/17/2004,7013.46,7013.46,7013.46
NYA,11/18/2004,7002.91,7002.91,7002.91
NYA,11/19/2004,6947.19,6947.19,6947.19
NYA,11/22/2004,6979.79,6979.79,6979.79
NYA,11/23/2004,6985.3,6985.3,6985.3
NYA,11/24/2004,7016.35,7016.35,7016.35
NYA,11/26/2004,7046.69,7046.69,7046.69
NYA,11/29/2004,7032.23,7032.23,7032.23
NYA,11/30/2004,7005.72,7005.72,7005.72
NYA,12/1/2004,7097.32,7097.32,7097.32
NYA,12/2/2004,7074.82,7074.82,7074.82
NYA,12/3/2004,7092.62,7092.62,7092.62
NYA,12/6/2004,7082.58,7082.58,7082.58
NYA,12/7/2004,7014.72,7014.72,7014.72
NYA,12/8/2004,7029.97,7029.97,7029.97
NYA,12/9/2004,7048.1,7048.1,7048.1
NYA,12/10/2004,7028.51,7028.51,7028.51
NYA,12/13/2004,7102.41,7102.41,7102.41
NYA,12/14/2004,7124.61,7124.61,7124.61
NYA,12/15/2004,7159.65,7159.65,7159.65
NYA,12/16/2004,7131.98,7131.98,7131.98
NYA,12/17/2004,7098.09,7098.09,7098.09
NYA,12/20/2004,7116.98,7116.98,7116.98
NYA,12/21/2004,7167.03,7167.03,7167.03
NYA,12/22/2004,7190.14,7190.14,7190.14
NYA,12/23/2004,7208.78,7208.78,7208.78
NYA,12/27/2004,7197.27,7197.27,7197.27
NYA,12/28/2004,7245.81,7245.81,7245.81
NYA,12/29/2004,7242.24,7242.24,7242.24
NYA,12/30/2004,7253.56,7253.56,7253.56
NYA,12/31/2004,7250.06,7250.06,7250.06
NYA,1/3/2005,7179.71,7179.71,7179.71
NYA,1/4/2005,7090.52,7090.52,7090.52
NYA,1/5/2005,7055.21,7055.21,7055.21
NYA,1/6/2005,7076.94,7076.94,7076.94
NYA,1/7/2005,7057.51,7057.51,7057.51
NYA,1/10/2005,7081.7,7081.7,7081.7
NYA,1/11/2005,7044.11,7044.11,7044.11
